date, pm25, pm10, o3, no2, so2, co
2023/12/12, 86, 40, 7, 18, 3, 7
2023/12/13, 77, 56, 26, 26, 3, 9
2023/12/14, 110, 52, 43, 33, 3, 8
2023/12/15, 99, 23, 17, 9, 2, 6
2023/12/16, 30, 29, 16, 4, , 5
2023/12/17, 70, 34, 7, 9, 3, 6
2023/12/18, 79, 15, 6, 8, 2, 6
2023/12/19, 35, 25, 17, 4, 3, 5
2023/12/20, 63, 31, 28, 3, 3, 5
2023/12/21, 74, 53, 33, 4, 4, 5
2023/12/22, 107, 40, 27, 6, 4, 5
2023/12/23, 88, 35, 34, 9, 4, 5
2023/12/24, 82, 38, 30, 11, 4, 5
2023/12/25, 76, 58, 24, 28, 4, 7
2023/12/26, 106, 78, 26, 36, 5, 10
2023/12/27, 143, 74, 35, 38, 4, 9
2023/12/28, 136, 72, 38, 45, 4, 8
2023/12/29, 134, 60, 21, 41, 3, 8
2023/12/30, 131, 58, 51, 32, 3, 8
2023/12/31, 137, 69, , 25, 3, 9
2023/7/1, 48, 17, 25, 7, 2, 5
2023/7/2, 43, 14, 35, 6, 2, 5
2023/7/3, 38, 18, 27, 10, 2, 5
2023/7/4, 46, 22, 41, 8, 2, 5
2023/7/5, 47, 18, 32, 3, , 5
2023/7/6, 42, 16, 33, 3, 2, 5
2023/7/7, 74, 19, 36, 3, 2, 5
2023/7/8, 45, 18, 35, 3, 2, 5
2023/7/9, 35, 20, 45, 4, 2, 6
2023/7/10, 41, 19, 47, 4, 2, 6
2023/7/11, 39, 20, 63, 4, 2, 6
2023/7/12, 39, 22, 51, 4, 2, 5
2023/7/13, 43, 29, 96, 6, 2, 6
2023/7/14, 58, 50, 103, 11, 3, 7
2023/7/15, 98, 24, 28, 5, 2, 6
2023/7/16, 54, 13, 23, 1, 2, 5
2023/7/17, 28, 21, 25, 7, 2, 7
2023/7/18, 51, 22, 33, 8, 2, 6
2023/7/19, 50, 20, 39, 6, 2, 5
2023/7/20, 41, 27, 66, 7, 2, 6
2023/7/21, 59, 26, 57, 7, 2, 6
2023/7/22, 57, 21, 76, 4, 2, 4
2023/7/23, 44, 18, 54, 4, 2, 4
2023/7/24, 40, 24, 75, 6, 2, 4
2023/7/25, 47, 43, 91, 7, 2, 5
2023/7/26, 91, 28, 39, 4, 2, 5
2023/7/27, 62, 25, 46, 5, 3, 5
2023/7/28, 49, 29, 39, 8, 2, 7
2023/7/29, 57, 22, 27, 8, 2, 7
2023/7/30, 47, 28, 59, 9, 2, 7
2023/7/31, 57, 24, 35, 8, 3, 6
2023/8/1, 51, 29, 89, 6, 2, 6
2023/8/2, 68, 36, 117, 6, 2, 6
2023/8/3, 73, 20, 46, 2, 2, 6
2023/8/4, 41, 22, 47, 3, 2, 5
2023/8/5, 49, 27, 44, 3, 2, 5
2023/8/6, 57, 25, 50, 3, 2, 6
2023/8/7, 55, 22, 31, 5, 2, 6
2023/8/8, 49, 32, 67, 7, 2, 6
2023/8/9, 64, 35, 26, 11, 2, 7
2023/8/10, 70, 20, 88, 7, 2, 5
2023/8/11, 47, 22, 24, 7, 2, 5
2023/8/12, 57, 22, 33, 5, 2, 5
2023/8/13, 51, 30, 52, 6, 2, 5
2023/8/14, 62, 28, 31, 8, 2, 6
2023/8/15, 58, 36, 66, 7, 2, 5
2023/8/16, 69, 36, 18, 11, 2, 6
2023/8/17, 72, 44, 38, 18, 3, 8
2023/8/18, 88, 42, 122, 14, 2, 8
2023/8/19, 85, 25, 23, 7, 2, 6
2023/8/20, 53, 25, 32, 12, 2, 6
2023/8/21, 48, 23, 58, 12, 2, 6
2023/8/22, 54, 25, 29, 12, 2, 8
2023/8/23, 56, 24, 34, 12, 2, 7
2023/8/24, 60, 27, 29, 12, 2, 7
2023/8/25, 59, 35, 25, 13, 2, 7
2023/8/26, 65, 22, 46, 6, 2, 4
